id,difficulty,method,representation_valid,sql_valid,execution_match,input_tokens,output_tokens,reasoning_tokens,total_tokens,latency_seconds,prediction_chars,error,prediction,converted_sql
q001,simple,direct_sql,True,True,True,284,92,0,376,6.042241900002409,100,,"SELECT c.customer_name, c.city\nFROM customers c\nWHERE c.level = 'gold'\nORDER BY c.customer_name ASC;","SELECT c.customer_name, c.city\nFROM customers c\nWHERE c.level = 'gold'\nORDER BY c.customer_name ASC;"
q002,simple,direct_sql,True,True,False,283,130,64,413,6.048056399999041,98,execution result mismatch,"SELECT c.customer_name, c.level\nFROM customers c\nWHERE c.city = '北京'\nORDER BY c.customer_name ASC;","SELECT c.customer_name, c.level\nFROM customers c\nWHERE c.city = '北京'\nORDER BY c.customer_name ASC;"
q003,simple,direct_sql,True,True,False,288,127,64,415,5.038034099998185,108,execution result mismatch,"SELECT p.product_name, p.category, p.price\nFROM products p\nWHERE p.price > 1000\nORDER BY p.product_name ASC;","SELECT p.product_name, p.category, p.price\nFROM products p\nWHERE p.price > 1000\nORDER BY p.product_name ASC;"
q004,simple,direct_sql,True,True,False,288,335,256,623,5.9166366000026756,130,execution result mismatch,"SELECT o.order_id, o.order_date\nFROM orders o\nWHERE o.status = 'paid'\n  AND o.order_date > '2025-03-31'\nORDER BY o.order_date ASC;","SELECT o.order_id, o.order_date\nFROM orders o\nWHERE o.status = 'paid'\n  AND o.order_date > '2025-03-31'\nORDER BY o.order_date ASC;"
q005,simple,direct_sql,True,True,False,291,179,128,470,4.020280100001401,116,execution result mismatch,"SELECT oi.item_id, oi.product_id, oi.quantity\nFROM order_items oi\nWHERE oi.unit_price < 200\nORDER BY oi.item_id ASC;","SELECT oi.item_id, oi.product_id, oi.quantity\nFROM order_items oi\nWHERE oi.unit_price < 200\nORDER BY oi.item_id ASC;"
q006,simple,direct_sql,True,True,False,280,229,192,509,4.0838975999977265,103,execution result mismatch,"SELECT p.product_id, p.product_name, p.category, p.price\nFROM products p\nORDER BY p.price DESC\nLIMIT 2;","SELECT p.product_id, p.product_name, p.category, p.price\nFROM products p\nORDER BY p.price DESC\nLIMIT 2;"
q007,medium,direct_sql,True,True,False,296,351,256,647,6.039502300001914,292,execution result mismatch,"SELECT c.customer_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE c.city = '上海' AND o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name\nORDER BY total_sales DESC;","SELECT c.customer_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE c.city = '上海' AND o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name\nORDER BY total_sales DESC;"
q008,medium,direct_sql,True,True,False,288,364,256,652,7.482404200000019,287,execution result mismatch,"SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE strftime('%Y', o.order_date) = '2025'\nGROUP BY p.product_id, p.product_name\nORDER BY total_quantity DESC\nLIMIT 3;","SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE strftime('%Y', o.order_date) = '2025'\nGROUP BY p.product_id, p.product_name\nORDER BY total_quantity DESC\nLIMIT 3;"
q009,medium,direct_sql,True,True,True,293,233,128,526,4.063234599998395,217,,"SELECT c.city, COUNT(o.order_id) AS paid_order_count\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nHAVING COUNT(o.order_id) > 1\nORDER BY paid_order_count DESC;","SELECT c.city, COUNT(o.order_id) AS paid_order_count\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nHAVING COUNT(o.order_id) > 1\nORDER BY paid_order_count DESC;"
q010,medium,direct_sql,True,True,True,285,278,192,563,5.577432000001863,272,,SELECT DISTINCT c.customer_name\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE c.level = 'gold' AND p.category = 'computer'\nORDER BY c.customer_name ASC;,SELECT DISTINCT c.customer_name\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE c.level = 'gold' AND p.category = 'computer'\nORDER BY c.customer_name ASC;
q011,medium,direct_sql,True,True,True,291,170,64,461,5.210575199998857,247,,"SELECT p.category, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE o.status = 'paid'\nGROUP BY p.category\nORDER BY total_sales DESC;","SELECT p.category, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE o.status = 'paid'\nGROUP BY p.category\nORDER BY total_sales DESC;"
q012,hard,direct_sql,True,True,False,288,575,448,863,9.268363799998042,353,execution result mismatch,"SELECT c.customer_id, c.customer_name, c.city, SUM(oi.quantity * oi.unit_price) AS total_spent\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name, c.city\nHAVING SUM(oi.quantity * oi.unit_price) > 10000\nORDER BY total_spent DESC;","SELECT c.customer_id, c.customer_name, c.city, SUM(oi.quantity * oi.unit_price) AS total_spent\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name, c.city\nHAVING SUM(oi.quantity * oi.unit_price) > 10000\nORDER BY total_spent DESC;"
q013,medium,direct_sql,True,True,False,327,293,256,620,5.381720100001985,250,execution result mismatch,"SELECT c.customer_id, c.customer_name, COUNT(o.order_id) AS paid_orders\nFROM customers c\nLEFT JOIN orders o ON c.customer_id = o.customer_id AND o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name\nORDER BY paid_orders DESC, c.customer_name ASC;","SELECT c.customer_id, c.customer_name, COUNT(o.order_id) AS paid_orders\nFROM customers c\nLEFT JOIN orders o ON c.customer_id = o.customer_id AND o.status = 'paid'\nGROUP BY c.customer_id, c.customer_name\nORDER BY paid_orders DESC, c.customer_name ASC;"
q014,medium,direct_sql,True,True,True,284,214,128,498,5.66565019999689,105,,"SELECT p.category, AVG(p.price) AS avg_price\nFROM products p\nGROUP BY p.category\nORDER BY p.category ASC;","SELECT p.category, AVG(p.price) AS avg_price\nFROM products p\nGROUP BY p.category\nORDER BY p.category ASC;"
q015,medium,direct_sql,True,True,False,282,117,64,399,5.563376299996889,98,execution result mismatch,"SELECT c.level, COUNT(*) AS customer_count\nFROM customers c\nGROUP BY c.level\nORDER BY c.level ASC;","SELECT c.level, COUNT(*) AS customer_count\nFROM customers c\nGROUP BY c.level\nORDER BY c.level ASC;"
q016,medium,direct_sql,True,True,False,285,388,256,673,7.210149400001683,283,execution result mismatch,"SELECT p.product_id, p.product_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE o.status = 'paid'\nGROUP BY p.product_id, p.product_name\nORDER BY total_sales DESC;","SELECT p.product_id, p.product_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE o.status = 'paid'\nGROUP BY p.product_id, p.product_name\nORDER BY total_sales DESC;"
q017,medium,direct_sql,True,True,False,284,322,256,606,5.499594499997329,156,execution result mismatch,"SELECT c.customer_name, o.order_id\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE o.status = 'canceled'\nORDER BY c.customer_name ASC;","SELECT c.customer_name, o.order_id\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE o.status = 'canceled'\nORDER BY c.customer_name ASC;"
q018,medium,direct_sql,True,True,True,281,176,128,457,4.245720800001436,95,,"SELECT c.city, COUNT(*) AS customer_count\nFROM customers c\nGROUP BY c.city\nORDER BY c.city ASC;","SELECT c.city, COUNT(*) AS customer_count\nFROM customers c\nGROUP BY c.city\nORDER BY c.city ASC;"
q019,medium,direct_sql,True,True,False,286,480,384,766,8.15609079999922,216,execution result mismatch,"SELECT o.order_id, COALESCE(SUM(oi.quantity * oi.unit_price), 0) AS order_amount\nFROM orders o\nLEFT JOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY o.order_id\nORDER BY o.order_id ASC;","SELECT o.order_id, COALESCE(SUM(oi.quantity * oi.unit_price), 0) AS order_amount\nFROM orders o\nLEFT JOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY o.order_id\nORDER BY o.order_id ASC;"
q020,hard,direct_sql,True,True,True,286,378,320,664,7.13283710000178,184,,"SELECT oi.order_id, SUM(oi.quantity * oi.unit_price) AS total_amount\nFROM order_items oi\nGROUP BY oi.order_id\nHAVING SUM(oi.quantity * oi.unit_price) > 5000\nORDER BY total_amount DESC;","SELECT oi.order_id, SUM(oi.quantity * oi.unit_price) AS total_amount\nFROM order_items oi\nGROUP BY oi.order_id\nHAVING SUM(oi.quantity * oi.unit_price) > 5000\nORDER BY total_amount DESC;"
q021,medium,direct_sql,True,True,False,283,336,256,619,10.18326320000051,197,execution result mismatch,SELECT SUM(oi.quantity) AS paid_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE p.category = '家具' AND o.status = 'paid';,SELECT SUM(oi.quantity) AS paid_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE p.category = '家具' AND o.status = 'paid';
q022,hard,direct_sql,True,True,False,285,573,448,858,14.66817010000159,286,execution result mismatch,"SELECT c.customer_id, c.customer_name, COUNT(DISTINCT oi.product_id) AS distinct_product_count\nFROM customers c\nLEFT JOIN orders o ON c.customer_id = o.customer_id\nLEFT JOIN order_items oi ON o.order_id = oi.order_id\nGROUP BY c.customer_id, c.customer_name\nORDER BY c.customer_name ASC;","SELECT c.customer_id, c.customer_name, COUNT(DISTINCT oi.product_id) AS distinct_product_count\nFROM customers c\nLEFT JOIN orders o ON c.customer_id = o.customer_id\nLEFT JOIN order_items oi ON o.order_id = oi.order_id\nGROUP BY c.customer_id, c.customer_name\nORDER BY c.customer_name ASC;"
q023,hard,direct_sql,True,True,False,285,472,384,757,9.613227199999528,221,execution result mismatch,"SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nGROUP BY p.product_id, p.product_name\nHAVING SUM(oi.quantity) > 5\nORDER BY total_quantity DESC;","SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nGROUP BY p.product_id, p.product_name\nHAVING SUM(oi.quantity) > 5\nORDER BY total_quantity DESC;"
q024,medium,direct_sql,True,True,True,283,300,192,583,5.881378699999914,241,,"SELECT c.city, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nORDER BY total_sales DESC;","SELECT c.city, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nORDER BY total_sales DESC;"
q025,medium,direct_sql,True,True,False,288,387,256,675,6.8996055999996315,294,execution result mismatch,"SELECT oi.item_id, oi.order_id, oi.product_id, p.product_name, oi.quantity, oi.unit_price, (oi.quantity * oi.unit_price) AS amount\nFROM order_items oi\nJOIN orders o ON oi.order_id = o.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE o.status = 'paid'\nORDER BY amount DESC\nLIMIT 3;","SELECT oi.item_id, oi.order_id, oi.product_id, p.product_name, oi.quantity, oi.unit_price, (oi.quantity * oi.unit_price) AS amount\nFROM order_items oi\nJOIN orders o ON oi.order_id = o.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE o.status = 'paid'\nORDER BY amount DESC\nLIMIT 3;"
q026,medium,direct_sql,True,True,True,286,347,256,633,7.312704299998586,175,,"SELECT o.order_id, c.customer_name, o.status\nFROM orders o\nJOIN customers c ON o.customer_id = c.customer_id\nWHERE lower(o.status) NOT LIKE '%cancel%'\nORDER BY o.order_id ASC;","SELECT o.order_id, c.customer_name, o.status\nFROM orders o\nJOIN customers c ON o.customer_id = c.customer_id\nWHERE lower(o.status) NOT LIKE '%cancel%'\nORDER BY o.order_id ASC;"
q027,medium,direct_sql,True,True,False,282,233,128,515,4.971636199999921,214,execution result mismatch,"SELECT c.customer_id, c.customer_name, MAX(o.order_date) AS last_order_date\nFROM customers c\nLEFT JOIN orders o ON c.customer_id = o.customer_id\nGROUP BY c.customer_id, c.customer_name\nORDER BY c.customer_name ASC;","SELECT c.customer_id, c.customer_name, MAX(o.order_date) AS last_order_date\nFROM customers c\nLEFT JOIN orders o ON c.customer_id = o.customer_id\nGROUP BY c.customer_id, c.customer_name\nORDER BY c.customer_name ASC;"
q028,medium,direct_sql,True,True,True,286,304,192,590,5.43346609999935,172,,"SELECT p.category, MAX(oi.unit_price) AS highest_unit_price\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nGROUP BY p.category\nORDER BY p.category ASC;","SELECT p.category, MAX(oi.unit_price) AS highest_unit_price\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nGROUP BY p.category\nORDER BY p.category ASC;"
q029,hard,direct_sql,True,True,True,283,505,384,788,6.953358300001128,289,,"SELECT c.city, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nHAVING SUM(oi.quantity * oi.unit_price) > 10000\nORDER BY total_sales DESC;","SELECT c.city, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.city\nHAVING SUM(oi.quantity * oi.unit_price) > 10000\nORDER BY total_sales DESC;"
q030,hard,direct_sql,True,True,True,297,459,320,756,7.990729099998134,290,,"SELECT c.level, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.level\nHAVING SUM(oi.quantity * oi.unit_price) > 5000\nORDER BY total_sales DESC;","SELECT c.level, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE o.status = 'paid'\nGROUP BY c.level\nHAVING SUM(oi.quantity * oi.unit_price) > 5000\nORDER BY total_sales DESC;"
q001,simple,sqlplus,True,True,True,317,163,128,480,4.212365600000339,102,,"FROM customers c\n| WHERE c.level = 'gold'\n| SELECT c.customer_name, c.city\n| ORDER c.customer_name ASC","SELECT c.customer_name, c.city\nFROM customers c\nWHERE (c.level = 'gold')\nORDER BY c.customer_name ASC;"
q002,simple,sqlplus,True,True,False,316,225,192,541,4.546092399999907,100,execution result mismatch,"FROM customers c\n| WHERE c.city = '北京'\n| SELECT c.customer_name, c.level\n| ORDER c.customer_name ASC","SELECT c.customer_name, c.level\nFROM customers c\nWHERE (c.city = '北京')\nORDER BY c.customer_name ASC;"
q003,simple,sqlplus,True,True,False,321,263,192,584,9.093666600001598,110,execution result mismatch,"FROM products p\n| WHERE p.price > 1000\n| SELECT p.product_name, p.category, p.price\n| ORDER p.product_name ASC","SELECT p.product_name, p.category, p.price\nFROM products p\nWHERE (p.price > 1000)\nORDER BY p.product_name ASC;"
q004,simple,sqlplus,True,True,False,321,350,256,671,7.571725800000422,130,execution result mismatch,"FROM orders o\n| WHERE o.status = 'paid' AND o.order_date > '2025-03-31'\n| SELECT o.order_id, o.order_date\n| ORDER o.order_date ASC","SELECT o.order_id, o.order_date\nFROM orders o\nWHERE (o.status = 'paid' AND o.order_date > '2025-03-31')\nORDER BY o.order_date ASC;"
q005,simple,sqlplus,True,True,False,324,221,128,545,4.211296499997843,95,execution result mismatch,"FROM order_items oi\n| WHERE oi.unit_price < 200\n| SELECT oi.item_id, oi.product_id, oi.quantity","SELECT oi.item_id, oi.product_id, oi.quantity\nFROM order_items oi\nWHERE (oi.unit_price < 200);"
q006,simple,sqlplus,True,True,True,313,358,320,671,6.378473099997791,79,,"FROM products p\n| SELECT p.product_name, p.price\n| ORDER p.price DESC\n| LIMIT 2","SELECT p.product_name, p.price\nFROM products p\nORDER BY p.price DESC\nLIMIT 2;"
q007,medium,sqlplus,True,True,False,329,938,832,1267,13.166485300000204,294,execution result mismatch,"FROM customers c\n| JOIN orders o ON c.customer_id = o.customer_id\n| JOIN order_items oi ON o.order_id = oi.order_id\n| WHERE c.city = '上海' AND o.status = 'paid'\n| GROUP c.customer_id, c.customer_name\n| AGG c.customer_name, SUM(oi.quantity * oi.unit_price) AS total_sales\n| ORDER total_sales DESC","SELECT c.customer_name, SUM(oi.quantity * oi.unit_price) AS total_sales\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nWHERE (c.city = '上海' AND o.status = 'paid')\nGROUP BY c.customer_id, c.customer_name\nORDER BY total_sales DESC;"
q008,medium,sqlplus,True,True,False,321,873,768,1194,12.073922700001276,326,execution result mismatch,"FROM products p\n| JOIN order_items oi ON p.product_id = oi.product_id\n| JOIN orders o ON oi.order_id = o.order_id\n| WHERE o.status = 'paid' AND o.order_date BETWEEN '2025-01-01' AND '2025-12-31'\n| GROUP p.product_id, p.product_name\n| AGG p.product_name, SUM(oi.quantity) AS total_quantity\n| ORDER total_quantity DESC\n| LIMIT 3","SELECT p.product_name, SUM(oi.quantity) AS total_quantity\nFROM products p\nJOIN order_items oi ON p.product_id = oi.product_id\nJOIN orders o ON oi.order_id = o.order_id\nWHERE (o.status = 'paid' AND o.order_date BETWEEN '2025-01-01' AND '2025-12-31')\nGROUP BY p.product_id, p.product_name\nORDER BY total_quantity DESC\nLIMIT 3;"
q009,medium,sqlplus,True,True,True,326,487,384,813,7.67530909999914,203,,"FROM customers c\n| JOIN orders o ON c.customer_id = o.customer_id\n| WHERE o.status = 'paid'\n| GROUP c.city\n| AGG c.city, COUNT(o.order_id) AS order_count\n| HAVING order_count > 1\n| ORDER order_count DESC","SELECT c.city, COUNT(o.order_id) AS order_count\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nWHERE (o.status = 'paid')\nGROUP BY c.city\nHAVING (COUNT(o.order_id)) > 1\nORDER BY order_count DESC;"
q010,medium,sqlplus,True,True,True,318,685,576,1003,9.9478237000003,290,,FROM customers c\n| JOIN orders o ON c.customer_id = o.customer_id\n| JOIN order_items oi ON o.order_id = oi.order_id\n| JOIN products p ON oi.product_id = p.product_id\n| WHERE c.level = 'gold' AND p.category = 'computer'\n| GROUP c.customer_id\n| AGG c.customer_name\n| ORDER c.customer_name ASC,SELECT c.customer_name\nFROM customers c\nJOIN orders o ON c.customer_id = o.customer_id\nJOIN order_items oi ON o.order_id = oi.order_id\nJOIN products p ON oi.product_id = p.product_id\nWHERE (c.level = 'gold' AND p.category = 'computer')\nGROUP BY c.customer_id\nORDER BY c.customer_name ASC;
